tassel_immature.V13_DS_B_2	16640144	193955	86559	888392	63816	175349	1340476	19388691
leaf_6dap_DS_B_1	12305495	148259	69537	756438	64506	136286	866900	14347421
tassel_immature.V13_DS_B_3	18084739	203332	92353	967079	50384	187721	1184092	20769700
leaf_24dap_DS_B_1	11021713	123569	49095	686298	127101	222587	1350117	13580480
cob_immature.V18_DS_B_2	20596506	257053	122498	1055260	61297	230729	1435359	23758702
cob_immature.V18_DS_B_3	20326595	251504	116969	1064543	73185	216216	1607505	23656517
stem_shoot.apex_GL_M0062_1	16420810	159644	65570	849547	6313	21402	319668	17842954
tassel_meiotic.V18_DS_B_3	15744121	205862	89023	1001546	59999	157496	1114780	18372827
endosperm_20dap_DS_B_2	11154294	989712	537221	944611	277353	236074	4522009	18661274
leaf_6dap_DS_B_2	16323183	221334	94906	950943	93318	177791	1193513	19054988
tassel_immature.V13_DS_B_1	24029638	258345	114859	1279015	75033	245856	1749717	27752463
stem_shoot.apex_GL_M0061_2	22219904	217144	93077	1136373	9118	30107	438302	24144025
endosperm_18dap_DS_B_2	22331878	1130929	800403	1470401	124164	365800	2844094	29067669
stem_shoot.apex_GL_M0066_1	20926700	226484	110097	1158296	11001	30527	397595	22860700
endosperm_20dap_DS_B_3	19446562	1623482	922953	1589941	163296	400069	3492317	27638620
stem_shoot.apex_GL_M0067_2	20503229	214277	83102	1050955	9521	30616	421578	22313278
endosperm_18dap_DS_B_1	23927703	1034259	715328	1507560	146759	351395	3082122	30765126
stem_shoot.apex_GL_M0099_2	19459023	206421	87345	1013687	8299	30899	385007	21190681
stem_shoot.apex_GL_M0141_2	29026344	286695	128088	1480397	13549	43502	579747	31558322
stem_shoot.apex_GL_M0074_1	22692363	252881	109401	1180836	10668	31773	446519	24724441
stem_shoot.apex_GL_M0075_2	20841809	212533	92276	1063787	10266	31463	415496	22667630
leaf_30dap_DS_B_2	23443924	227815	119260	1340089	85971	218709	1363267	26799035
stem_shoot.apex_GL_M0079_2	21908589	227149	98846	1139199	9444	31971	430787	23845985
stem_shoot.apex_GL_M0116_1	21438490	197077	82351	1085902	8374	33771	441108	23287073
embryo_18dap_DS_B_2	27706509	275265	113123	1456449	208212	231230	3775072	33765860
stem_shoot.apex_GL_M0063_2	26601560	277166	107944	1395807	11324	36411	529648	28959860
stem_shoot.apex_GL_M0099_1	22671851	233871	102991	1142835	63161	236770	1701963	26153442
seed_pericarp.18dap_DS_B_2	18859980	333460	121380	1247103	82981	171439	1622026	22438369
stem_shoot.apex_GL_M0165_1	26273218	269055	110535	1377652	11549	36166	525781	28603956
stem_shoot.apex_GL_M0080_2	29530475	297656	122965	1514862	81661	298072	2218247	34063938
stem_shoot.apex_GL_M0062_2	19237915	181225	77422	954601	45875	168279	1315764	21981081
stem_shoot.apex_GL_M0176_1	25048947	264809	105609	1336690	12111	36286	486135	27290587
leaf_30dap_DS_B_1	22658419	230248	121794	1302424	89659	215357	1336273	25954174
endosperm_20dap_DS_B_1	15572787	1257588	669435	1335928	414285	294574	6719831	26264428
stem_shoot.apex_GL_M0077_2	21921146	258597	104269	1092853	67784	208323	1525172	25178144
stem_shoot.apex_GL_M0141_1	33774596	327174	151301	1670460	98985	340888	2609244	38972648
stem_shoot.apex_GL_M0066_2	24509387	260130	130724	1315246	73469	237961	1837924	28364841
stem_shoot.apex_GL_M0067_1	24234251	246760	99079	1194474	67099	227681	1818740	27888084
stem_shoot.apex_GL_M0165_2	26424879	266422	114819	1354446	74720	262584	1984089	30481959
stem_shoot.apex_GL_M0075_1	24523384	243932	108217	1201294	65479	235948	1720598	28098852
stem_shoot.apex_GL_M0074_2	26615153	284866	128968	1325494	66897	241394	1756291	30419063
stem_shoot.apex_GL_M0116_2	25271994	228692	99611	1233733	65788	240393	1923917	29064128
stem_shoot.apex_GL_M0079_1	25710248	260838	116122	1284024	71245	246389	1741071	29429937
stem_shoot.apex_GL_M0329_2	31475000	313604	138950	1678662	93004	326025	2393957	36419202
stem_shoot.apex_GL_M0063_1	31220333	315733	127942	1574568	84152	276029	2110830	35709587
endosperm_12dap_DS_B_2	46351268	434876	141570	1938081	189825	348621	3803461	53207702
leaf_12dap_DS_B_1	45730086	482538	278631	2551685	223503	472554	2901888	52640885
stem_shoot.apex_GL_M0200_2	14891425	149852	57228	780534	6367	20069	289511	16194986
endosperm_12dap_DS_B_1	54026734	499102	162417	2183941	190147	389926	3885636	61337903
stem_shoot.apex_GL_M0200_1	17206096	170553	66921	873770	51615	160957	1274081	19803993
stem_shoot.apex_GL_M0232_1	20898577	222483	91353	1115218	9231	31537	401385	22769784
stem_shoot.apex_GL_M0264_2	19354541	215906	94115	1008132	8897	29241	378819	21089651
stem_shoot.apex_GL_M0248_2	21728254	235219	94074	1122836	10927	31954	425079	23648343
stem_shoot.apex_GL_M0262_1	21990896	236661	93822	1120914	10571	30120	439490	23922474
stem_shoot.apex_GL_M0265_1	21497701	205706	98802	1160250	9627	32898	429414	23434398
stem_shoot.apex_GL_M0266_2	18391804	213526	82888	953858	8566	25769	370131	20046542
stem_shoot.apex_GL_M0267_1	18452845	232937	89524	969031	10086	27963	373076	20155462
stem_shoot.apex_GL_M0176_2	29085411	299453	123453	1505596	87867	305577	2258820	33666177
stem_shoot.apex_GL_M0248_1	25200293	266078	112114	1266353	89098	252125	2145568	29331629
stem_shoot.apex_GL_M0264_1	22665954	247272	111180	1136395	67383	221343	1620166	26069693
stem_shoot.apex_GL_M0266_1	21538244	240600	97784	1075000	71677	203518	1695809	24922632
stem_shoot.apex_GL_M0270_1	24359839	255004	105179	1289515	11864	37279	480790	26539470
stem_shoot.apex_GL_M0262_2	25794868	267418	110110	1262990	75526	224962	1779581	29515455
stem_shoot.apex_GL_M0232_2	24246366	251208	105900	1245153	63961	239722	1722717	27875027
stem_shoot.apex_GL_M0265_2	25203315	236069	116599	1310691	64127	245529	1821471	28997801
stem_shoot.apex_GL_M0281_2	12817790	137746	55933	647290	7079	18362	251829	13936029
stem_shoot.apex_GL_M0269_2	25549931	282338	111676	1353392	12232	36053	516756	27862378
stem_shoot.apex_GL_M0276_2	18861500	202130	84188	965817	8646	29017	386042	20537340
stem_shoot.apex_GL_M0267_2	21632376	260616	104502	1087877	67091	196934	1453989	24803385
stem_shoot.apex_GL_M0275_1	23248610	264588	101338	1268788	9824	31118	465338	25389604
